station_id,name,city,latitude,longitude,total_slots,charger_type,operator,avg_power_kw,installation_year,amenities,amenities_score,tariff_per_kwh,is_24x7,has_fast_charger,parking_fee_per_hr
STA039,Statiq — Pune Station 3,Pune,18.556455,73.962578,6,DC CHAdeMO (50 kW),Statiq,50.0,2022,"Shopping Mall, Restroom, Security Camera, WiFi, Cafe",6.2,18.61,True,True,0
STA040,Statiq — Pune Station 4,Pune,18.435689,73.968592,8,AC Type 2 (22 kW),Statiq,22.0,2020,"Cafe, Parking Shade, 24x7 Support, EV Service Centre, WiFi",6.2,14.08,False,False,30
STA041,Statiq — Pune Station 5,Pune,18.603492,73.969599,6,AC Type 2 (7.4 kW),Statiq,7.4,2021,"Cafe, Shopping Mall, WiFi, 24x7 Support, Security Camera",6.2,11.64,False,False,20
STA042,Statiq — Pune Station 6,Pune,18.415009,73.779153,10,AC Type 2 (22 kW),Statiq,22.0,2023,"24x7 Support, EV Service Centre, Cafe, Shopping Mall, Parking Shade",6.2,13.85,False,False,0
STA043,Bolt.Earth — Pune Station 7,Pune,18.60635,73.95952,6,DC CCS2 (50 kW),Bolt.Earth,50.0,2022,"24x7 Support, WiFi",2.5,17.01,True,True,50
STA044,Zeon Charging — Pune Station 8,Pune,18.523305,73.83316,8,DC CCS2 (50 kW),Zeon Charging,50.0,2021,"EV Service Centre, Shopping Mall, Cafe, 24x7 Support, Parking Shade",6.2,17.44,False,True,0
STA045,ChargeZone — Hyderabad Station 1,Hyderabad,17.282261,78.440711,8,AC Type 2 (7.4 kW),ChargeZone,7.4,2021,"24x7 Support, Cafe, Security Camera",3.8,12.89,True,False,0
STA046,ChargeZone — Hyderabad Station 2,Hyderabad,17.337217,78.492022,12,AC Type 2 (7.4 kW),ChargeZone,7.4,2024,"Security Camera, Shopping Mall, 24x7 Support, Cafe, Parking Shade",6.2,12.41,True,False,0
STA047,ChargeZone — Hyderabad Station 3,Hyderabad,17.348143,78.620312,2,AC Type 2 (7.4 kW),ChargeZone,7.4,2020,"Parking Shade, Cafe, Shopping Mall, 24x7 Support, EV Service Centre",6.2,12.92,False,False,0
STA048,Zeon Charging — Hyderabad Station 4,Hyderabad,17.317914,78.485921,4,DC CCS2 (150 kW),Zeon Charging,150.0,2023,"EV Service Centre, Shopping Mall, 24x7 Support",3.8,21.6,True,True,50
STA049,Zeon Charging — Hyderabad Station 5,Hyderabad,17.326849,78.355543,10,DC CCS2 (150 kW),Zeon Charging,150.0,2022,"EV Service Centre, Parking Shade, WiFi",3.8,22.22,False,True,20
STA050,BPCL EV Station — Hyderabad Station 6,Hyderabad,17.385724,78.359675,12,DC CCS2 (50 kW),BPCL EV Station,50.0,2022,"EV Service Centre, Restroom, Shopping Mall, WiFi",5.0,17.56,True,True,20
