session_id,station_id,city,charger_type,operator,start_time,end_time,duration_hrs,energy_kwh,vehicle_type,day_of_week,hour,is_weekend,wait_time_mins,revenue_inr,user_segment
SES000012,STA011,Bengaluru,AC Type 2 (22 kW),Bolt.Earth,2025-03-11 06:22:00,2025-03-11 07:23:48,1.03,18.37,MG ZS EV,Tuesday,6,False,10.5,266.92,Fleet Driver
SES000013,STA047,Hyderabad,AC Type 2 (7.4 kW),ChargeZone,2025-03-25 05:01:00,2025-03-25 05:58:36,0.96,6.92,Ather 450X,Tuesday,5,False,3.7,89.41,Fleet Driver
SES000014,STA022,Delhi,DC CCS2 (150 kW),BPCL EV Station,2025-03-21 08:08:00,2025-03-21 08:26:00,0.3,37.68,MG ZS EV,Friday,8,False,20.9,915.25,Intercity Traveller
SES000015,STA037,Pune,AC Type 2 (7.4 kW),Bolt.Earth,2025-01-28 14:16:00,2025-01-28 16:38:48,2.38,17.16,Hyundai Kona Electric,Tuesday,14,False,12.3,198.71,Fleet Driver
SES000016,STA048,Hyderabad,DC CCS2 (150 kW),Zeon Charging,2025-01-15 19:10:00,2025-01-15 19:33:24,0.39,45.11,MG ZS EV,Wednesday,19,False,21.7,974.38,Intercity Traveller
SES000017,STA048,Hyderabad,DC CCS2 (150 kW),Zeon Charging,2025-02-09 15:58:00,2025-02-09 16:13:00,0.25,36.55,Mahindra XUV400,Sunday,15,True,11.5,789.48,Weekend User
SES000018,STA040,Pune,AC Type 2 (22 kW),Statiq,2025-01-26 06:44:00,2025-01-26 07:14:36,0.51,8.87,Ather 450X,Sunday,6,True,0.4,124.89,Daily Commuter
SES000019,STA039,Pune,DC CHAdeMO (50 kW),Statiq,2025-02-08 20:38:00,2025-02-08 21:11:36,0.56,25.84,BMW iX,Saturday,20,True,13.0,480.88,Fleet Driver
SES000020,STA018,Delhi,AC Type 2 (22 kW),BPCL EV Station,2025-02-14 16:42:00,2025-02-14 17:54:36,1.21,21.54,Kia EV6,Friday,16,False,14.3,348.73,Fleet Driver
SES000021,STA023,Delhi,AC Type 2 (7.4 kW),ChargeZone,2025-01-02 20:52:00,2025-01-02 22:20:48,1.48,10.26,Mahindra XUV400,Thursday,20,False,23.8,126.71,Weekend User
SES000022,STA034,Mumbai,AC Type 2 (7.4 kW),Tata Power EZ Charge,2025-03-23 20:29:00,2025-03-23 22:42:48,2.23,14.72,Mahindra XUV400,Sunday,20,True,21.1,180.61,Daily Commuter
SES000023,STA029,Mumbai,AC Type 2 (22 kW),Tata Power EZ Charge,2025-03-08 22:17:00,2025-03-08 22:52:24,0.59,10.93,Kia EV6,Saturday,22,True,6.6,158.05,Fleet Driver
SES000024,STA028,Mumbai,AC Type 2 (22 kW),NTPC Vidyut,2025-03-01 13:46:00,2025-03-01 15:14:12,1.47,27.43,Tata Tigor EV,Saturday,13,True,8.9,360.16,Weekend User
SES000025,STA012,Bengaluru,AC Type 2 (7.4 kW),Bolt.Earth,2025-01-12 11:28:00,2025-01-12 14:13:36,2.76,18.54,BYD Atto 3,Sunday,11,True,12.1,256.22,Intercity Traveller
SES000026,STA023,Delhi,AC Type 2 (7.4 kW),ChargeZone,2025-03-27 12:01:00,2025-03-27 14:03:59,2.05,13.25,Tata Tigor EV,Thursday,12,False,23.3,163.64,Daily Commuter
SES000027,STA016,Delhi,DC CHAdeMO (50 kW),Zeon Charging,2025-01-28 12:16:00,2025-01-28 12:40:36,0.41,19.08,BMW iX,Tuesday,12,False,10.6,378.55,Fleet Driver
SES000028,STA047,Hyderabad,AC Type 2 (7.4 kW),ChargeZone,2025-02-05 16:33:00,2025-02-05 19:25:12,2.87,20.99,MG ZS EV,Wednesday,16,False,13.4,271.19,Daily Commuter
SES000029,STA012,Bengaluru,AC Type 2 (7.4 kW),Bolt.Earth,2025-02-22 14:48:00,2025-02-22 17:36:36,2.81,17.52,BYD Atto 3,Saturday,14,True,13.4,242.13,Fleet Driver
SES000030,STA005,Bengaluru,AC Type 2 (7.4 kW),Zeon Charging,2025-03-04 14:01:00,2025-03-04 16:56:12,2.92,20.81,Ather 450X,Tuesday,14,False,10.6,261.37,Daily Commuter
SES000031,STA018,Delhi,AC Type 2 (22 kW),BPCL EV Station,2025-02-01 11:37:00,2025-02-01 12:24:24,0.79,14.71,Kia EV6,Saturday,11,True,9.8,238.15,Intercity Traveller
SES000032,STA016,Delhi,DC CHAdeMO (50 kW),Zeon Charging,2025-02-24 23:35:00,2025-02-24 23:59:00,0.4,17.78,BYD Atto 3,Monday,23,False,10.3,352.76,Daily Commuter
SES000033,STA010,Bengaluru,AC Type 2 (7.4 kW),BPCL EV Station,2025-02-02 10:46:00,2025-02-02 13:37:36,2.86,19.56,MG ZS EV,Sunday,10,True,6.6,240.39,Fleet Driver
SES000034,STA035,Mumbai,DC CCS2 (150 kW),BPCL EV Station,2025-03-30 09:13:00,2025-03-30 09:35:48,0.38,56.86,Ola S1 Pro,Sunday,9,True,14.8,1297.55,Fleet Driver
SES000035,STA040,Pune,AC Type 2 (22 kW),Statiq,2025-03-09 16:06:00,2025-03-09 16:44:24,0.64,12.38,Ola S1 Pro,Sunday,16,True,12.8,174.31,Daily Commuter
SES000036,STA025,Delhi,AC Type 2 (22 kW),Ather Grid,2025-01-23 11:45:00,2025-01-23 12:57:00,1.2,24.44,Ola S1 Pro,Thursday,11,False,14.8,386.4,Daily Commuter
SES000037,STA047,Hyderabad,AC Type 2 (7.4 kW),ChargeZone,2025-01-07 16:44:00,2025-01-07 18:17:36,1.56,9.51,BYD Atto 3,Tuesday,16,False,13.6,122.87,Daily Commuter
SES000038,STA023,Delhi,AC Type 2 (7.4 kW),ChargeZone,2025-01-02 16:30:00,2025-01-02 19:12:00,2.7,19.55,Tata Tigor EV,Thursday,16,False,13.6,241.44,Daily Commuter
SES000039,STA023,Delhi,AC Type 2 (7.4 kW),ChargeZone,2025-01-07 10:55:00,2025-01-07 12:49:00,1.9,12.31,MG ZS EV,Tuesday,10,False,13.9,152.03,Daily Commuter
SES000040,STA003,Bengaluru,AC Type 2 (7.4 kW),Bolt.Earth,2025-01-10 17:43:00,2025-01-10 20:02:48,2.33,16.36,Hyundai Kona Electric,Friday,17,False,18.7,219.22,Fleet Driver
SES000041,STA006,Bengaluru,DC CCS2 (150 kW),BPCL EV Station,2025-02-08 07:15:00,2025-02-08 07:43:12,0.47,58.83,Mahindra XUV400,Saturday,7,True,5.1,1426.63,Fleet Driver
SES000042,STA018,Delhi,AC Type 2 (22 kW),BPCL EV Station,2025-03-21 09:33:00,2025-03-21 10:37:48,1.08,18.03,BYD Atto 3,Friday,9,False,12.8,291.91,Daily Commuter
SES000043,STA027,Mumbai,AC Type 2 (7.4 kW),Bolt.Earth,2025-03-17 23:19:00,2025-03-18 01:07:00,1.8,11.8,Tata Nexon EV,Monday,23,False,9.4,150.21,Fleet Driver
SES000044,STA030,Mumbai,DC CCS2 (150 kW),NTPC Vidyut,2025-01-13 22:13:00,2025-01-13 22:25:36,0.21,23.92,Ola S1 Pro,Monday,22,False,2.9,524.8,Fleet Driver
SES000045,STA004,Bengaluru,AC Type 2 (7.4 kW),BPCL EV Station,2025-01-21 10:35:00,2025-01-21 13:11:00,2.6,16.16,Tata Nexon EV,Tuesday,10,False,11.3,228.5,Daily Commuter
SES000046,STA002,Bengaluru,AC Type 2 (7.4 kW),Tata Power EZ Charge,2025-03-30 16:18:00,2025-03-30 18:46:48,2.48,14.75,Ola S1 Pro,Sunday,16,True,5.6,184.52,Fleet Driver
SES000047,STA033,Mumbai,AC Type 2 (7.4 kW),NTPC Vidyut,2025-03-31 20:04:00,2025-03-31 22:13:00,2.15,12.27,Ola S1 Pro,Monday,20,False,19.2,135.58,Fleet Driver
SES000048,STA046,Hyderabad,AC Type 2 (7.4 kW),ChargeZone,2025-03-22 16:51:00,2025-03-22 18:49:12,1.97,13.26,Mahindra XUV400,Saturday,16,True,7.7,164.56,Daily Commuter
SES000049,STA013,Bengaluru,DC CHAdeMO (50 kW),ChargeZone,2025-01-29 18:58:00,2025-01-29 19:35:48,0.63,31.31,Hyundai Kona Electric,Wednesday,18,False,7.9,631.52,Daily Commuter
SES000050,STA036,Mumbai,DC CHAdeMO (50 kW),Ather Grid,2025-01-22 20:38:00,2025-01-22 21:17:36,0.66,26.98,BMW iX,Wednesday,20,False,19.9,499.4,Weekend User
SES000051,STA015,Delhi,DC CCS2 (50 kW),Statiq,2025-02-26 08:44:00,2025-02-26 09:14:36,0.51,19.63,Mahindra XUV400,Wednesday,8,False,19.5,379.25,Weekend User
SES000052,STA004,Bengaluru,AC Type 2 (7.4 kW),BPCL EV Station,2025-03-06 16:28:00,2025-03-06 18:08:12,1.67,9.8,Tata Nexon EV,Thursday,16,False,15.3,138.57,Weekend User
SES000053,STA005,Bengaluru,AC Type 2 (7.4 kW),Zeon Charging,2025-02-11 17:01:00,2025-02-11 18:07:00,1.1,6.61,BMW iX,Tuesday,17,False,21.8,83.02,Intercity Traveller
SES000054,STA040,Pune,AC Type 2 (22 kW),Statiq,2025-01-03 23:43:00,2025-01-04 00:52:36,1.16,20.93,BMW iX,Friday,23,False,8.0,294.69,Daily Commuter
SES000055,STA021,Delhi,AC Type 2 (7.4 kW),Statiq,2025-01-23 14:41:00,2025-01-23 17:35:00,2.9,20.05,Ola S1 Pro,Thursday,14,False,21.6,277.89,Daily Commuter
SES000056,STA023,Delhi,AC Type 2 (7.4 kW),ChargeZone,2025-03-16 13:52:00,2025-03-16 15:33:24,1.69,10.15,MG ZS EV,Sunday,13,True,18.2,125.35,Intercity Traveller
SES000057,STA005,Bengaluru,AC Type 2 (7.4 kW),Zeon Charging,2025-02-22 12:42:00,2025-02-22 14:15:00,1.55,10.78,Hyundai Kona Electric,Saturday,12,True,18.2,135.4,Daily Commuter
SES000058,STA047,Hyderabad,AC Type 2 (7.4 kW),ChargeZone,2025-03-30 14:42:00,2025-03-30 16:31:12,1.82,10.43,Kia EV6,Sunday,14,True,14.9,134.76,Daily Commuter
SES000059,STA006,Bengaluru,DC CCS2 (150 kW),BPCL EV Station,2025-01-12 11:20:00,2025-01-12 11:41:00,0.35,45.59,Mahindra XUV400,Sunday,11,True,10.7,1105.56,Weekend User
SES000060,STA022,Delhi,DC CCS2 (150 kW),BPCL EV Station,2025-01-01 18:34:00,2025-01-01 18:53:12,0.32,43.39,Tata Nexon EV,Wednesday,18,False,11.8,1053.94,Daily Commuter
SES000061,STA030,Mumbai,DC CCS2 (150 kW),NTPC Vidyut,2025-02-16 16:31:00,2025-02-16 16:54:24,0.39,44.54,Tata Nexon EV,Sunday,16,True,18.2,977.21,Daily Commuter
SES000062,STA021,Delhi,AC Type 2 (7.4 kW),Statiq,2025-03-12 08:18:00,2025-03-12 10:10:48,1.88,13.41,BYD Atto 3,Wednesday,8,False,9.8,185.86,Daily Commuter
SES000063,STA034,Mumbai,AC Type 2 (7.4 kW),Tata Power EZ Charge,2025-03-22 16:15:00,2025-03-22 18:28:48,2.23,13.05,Ola S1 Pro,Saturday,16,True,12.0,160.12,Intercity Traveller
SES000064,STA050,Hyderabad,DC CCS2 (50 kW),BPCL EV Station,2025-03-12 13:14:00,2025-03-12 13:34:24,0.34,15.24,MG ZS EV,Wednesday,13,False,10.0,267.61,Intercity Traveller
SES000065,STA024,Delhi,AC Type 2 (22 kW),BPCL EV Station,2025-01-16 18:09:00,2025-01-16 19:35:24,1.44,28.32,Ola S1 Pro,Thursday,18,False,25.9,419.14,Intercity Traveller
SES000066,STA049,Hyderabad,DC CCS2 (150 kW),Zeon Charging,2025-02-04 13:30:00,2025-02-04 13:50:24,0.34,45.21,Ather 450X,Tuesday,13,False,6.8,1004.57,Intercity Traveller
SES000067,STA028,Mumbai,AC Type 2 (22 kW),NTPC Vidyut,2025-01-19 12:58:00,2025-01-19 14:24:24,1.44,26.82,Hyundai Kona Electric,Sunday,12,True,17.4,352.15,Weekend User
SES000068,STA020,Delhi,AC Type 2 (7.4 kW),BPCL EV Station,2025-02-05 19:54:00,2025-02-05 20:48:36,0.91,5.59,Kia EV6,Wednesday,19,False,16.9,71.83,Daily Commuter
SES000069,STA041,Pune,AC Type 2 (7.4 kW),Statiq,2025-01-01 11:19:00,2025-01-01 13:58:00,2.65,14.82,BMW iX,Wednesday,11,False,9.1,172.5,Weekend User
SES000070,STA025,Delhi,AC Type 2 (22 kW),Ather Grid,2025-03-04 21:28:00,2025-03-04 22:05:12,0.62,12.61,Tata Tigor EV,Tuesday,21,False,20.2,199.36,Daily Commuter
SES000071,STA016,Delhi,DC CHAdeMO (50 kW),Zeon Charging,2025-03-11 12:59:00,2025-03-11 13:34:24,0.59,28.6,Ather 450X,Tuesday,12,False,20.1,567.42,Weekend User
SES000072,STA042,Pune,AC Type 2 (22 kW),Statiq,2025-01-31 16:14:00,2025-01-31 17:00:48,0.78,13.63,Mahindra XUV400,Friday,16,False,14.1,188.78,Daily Commuter
SES000073,STA018,Delhi,AC Type 2 (22 kW),BPCL EV Station,2025-03-02 17:51:00,2025-03-02 19:06:00,1.25,26.17,Hyundai Kona Electric,Sunday,17,True,12.9,423.69,Intercity Traveller
SES000074,STA016,Delhi,DC CHAdeMO (50 kW),Zeon Charging,2025-01-05 08:37:00,2025-01-05 09:06:24,0.49,23.13,MG ZS EV,Sunday,8,True,17.6,458.9,Weekend User
SES000075,STA022,Delhi,DC CCS2 (150 kW),BPCL EV Station,2025-02-26 07:58:00,2025-02-26 08:16:00,0.3,44.22,Hyundai Kona Electric,Wednesday,7,False,7.9,1074.1,Daily Commuter
SES000076,STA022,Delhi,DC CCS2 (150 kW),BPCL EV Station,2025-03-25 22:04:00,2025-03-25 22:29:48,0.43,60.54,Ola S1 Pro,Tuesday,22,False,16.5,1470.52,Daily Commuter
SES000077,STA042,Pune,AC Type 2 (22 kW),Statiq,2025-03-30 13:05:00,2025-03-30 13:41:00,0.6,12.88,Kia EV6,Sunday,13,True,19.5,178.39,Daily Commuter
SES000078,STA036,Mumbai,DC CHAdeMO (50 kW),Ather Grid,2025-02-10 17:56:00,2025-02-10 18:23:36,0.46,22.4,Kia EV6,Monday,17,False,13.1,414.62,Daily Commuter
SES000079,STA046,Hyderabad,AC Type 2 (7.4 kW),ChargeZone,2025-01-09 10:43:00,2025-01-09 12:20:48,1.63,9.08,Ather 450X,Thursday,10,False,12.6,112.68,Fleet Driver
SES000080,STA030,Mumbai,DC CCS2 (150 kW),NTPC Vidyut,2025-02-25 23:48:00,2025-02-26 00:17:24,0.49,65.66,MG ZS EV,Tuesday,23,False,5.3,1440.58,Daily Commuter
SES000081,STA003,Bengaluru,AC Type 2 (7.4 kW),Bolt.Earth,2025-03-30 11:01:00,2025-03-30 13:11:12,2.17,13.84,Tata Nexon EV,Sunday,11,True,7.0,185.46,Daily Commuter
SES000082,STA025,Delhi,AC Type 2 (22 kW),Ather Grid,2025-02-17 13:15:00,2025-02-17 14:25:12,1.17,24.15,BMW iX,Monday,13,False,6.9,381.81,Fleet Driver
SES000083,STA029,Mumbai,AC Type 2 (22 kW),Tata Power EZ Charge,2025-01-24 08:05:00,2025-01-24 09:22:24,1.29,26.89,Mahindra XUV400,Friday,8,False,16.9,388.83,Fleet Driver
SES000084,STA007,Bengaluru,DC CCS2 (150 kW),Bolt.Earth,2025-01-31 15:37:00,2025-01-31 15:50:12,0.22,29.28,BYD Atto 3,Friday,15,False,5.5,715.02,Fleet Driver
SES000085,STA044,Pune,DC CCS2 (50 kW),Zeon Charging,2025-02-28 10:00:00,2025-02-28 10:31:12,0.52,25.27,BYD Atto 3,Friday,10,False,6.9,440.71,Weekend User
SES000086,STA021,Delhi,AC Type 2 (7.4 kW),Statiq,2025-03-28 16:04:00,2025-03-28 17:08:12,1.07,7.45,Tata Tigor EV,Friday,16,False,9.4,103.26,Weekend User
SES000087,STA033,Mumbai,AC Type 2 (7.4 kW),NTPC Vidyut,2025-02-08 16:27:00,2025-02-08 18:35:24,2.14,12.28,BYD Atto 3,Saturday,16,True,12.2,135.69,Fleet Driver
SES000088,STA023,Delhi,AC Type 2 (7.4 kW),ChargeZone,2025-01-26 23:54:00,2025-01-27 00:48:36,0.91,6.43,Ather 450X,Sunday,23,True,3.5,79.41,Daily Commuter
SES000089,STA014,Bengaluru,DC CHAdeMO (50 kW),Ather Grid,2025-02-15 15:44:00,2025-02-15 16:21:48,0.63,24.27,Mahindra XUV400,Saturday,15,True,2.8,480.3,Daily Commuter
SES000090,STA036,Mumbai,DC CHAdeMO (50 kW),Ather Grid,2025-03-14 21:49:00,2025-03-14 22:29:12,0.67,33.06,Tata Nexon EV,Friday,21,False,9.0,611.94,Weekend User
SES000091,STA014,Bengaluru,DC CHAdeMO (50 kW),Ather Grid,2025-03-05 20:57:00,2025-03-05 21:41:24,0.74,34.72,Ather 450X,Wednesday,20,False,15.4,687.11,Fleet Driver
SES000092,STA029,Mumbai,AC Type 2 (22 kW),Tata Power EZ Charge,2025-02-15 10:12:00,2025-02-15 11:28:48,1.28,25.05,Hyundai Kona Electric,Saturday,10,True,9.9,362.22,Fleet Driver
SES000093,STA038,Pune,AC Type 2 (7.4 kW),BPCL EV Station,2025-03-22 17:19:00,2025-03-22 19:01:00,1.7,12.29,Tata Nexon EV,Saturday,17,True,12.9,155.1,Intercity Traveller
SES000094,STA016,Delhi,DC CHAdeMO (50 kW),Zeon Charging,2025-01-17 07:18:00,2025-01-17 07:37:48,0.33,14.31,Mahindra XUV400,Friday,7,False,4.0,283.91,Daily Commuter
SES000095,STA049,Hyderabad,DC CCS2 (150 kW),Zeon Charging,2025-01-17 20:56:00,2025-01-17 21:09:12,0.22,25.73,Kia EV6,Friday,20,False,20.6,571.72,Intercity Traveller
SES000096,STA045,Hyderabad,AC Type 2 (7.4 kW),ChargeZone,2025-02-04 20:16:00,2025-02-04 22:41:48,2.43,16.11,BYD Atto 3,Tuesday,20,False,14.9,207.66,Weekend User
SES000097,STA039,Pune,DC CHAdeMO (50 kW),Statiq,2025-02-07 19:21:00,2025-02-07 20:04:48,0.73,30.8,BYD Atto 3,Friday,19,False,23.5,573.19,Weekend User
SES000098,STA042,Pune,AC Type 2 (22 kW),Statiq,2025-01-19 18:14:00,2025-01-19 18:57:12,0.72,15.69,Mahindra XUV400,Sunday,18,True,16.0,217.31,Weekend User
SES000099,STA019,Delhi,AC Type 2 (7.4 kW),BPCL EV Station,2025-03-13 12:50:00,2025-03-13 13:36:48,0.78,5.73,Ola S1 Pro,Thursday,12,False,17.1,70.94,Intercity Traveller
SES000100,STA032,Mumbai,DC CCS2 (50 kW),BPCL EV Station,2025-02-28 12:47:00,2025-02-28 13:08:36,0.36,15.99,BMW iX,Friday,12,False,16.1,287.66,Daily Commuter
SES000101,STA032,Mumbai,DC CCS2 (50 kW),BPCL EV Station,2025-03-23 21:06:00,2025-03-23 21:50:24,0.74,32.59,BYD Atto 3,Sunday,21,True,23.3,586.29,Daily Commuter
SES000102,STA011,Bengaluru,AC Type 2 (22 kW),Bolt.Earth,2025-03-13 12:39:00,2025-03-13 13:36:00,0.95,18.95,MG ZS EV,Thursday,12,False,20.8,275.34,Fleet Driver
SES000103,STA031,Mumbai,AC Type 2 (7.4 kW),ChargeZone,2025-03-01 21:19:00,2025-03-01 23:22:36,2.06,14.87,MG ZS EV,Saturday,21,True,26.9,186.17,Daily Commuter
SES000104,STA006,Bengaluru,DC CCS2 (150 kW),BPCL EV Station,2025-01-05 11:31:00,2025-01-05 11:47:48,0.28,33.48,Ather 450X,Sunday,11,True,8.0,811.89,Weekend User
SES000105,STA032,Mumbai,DC CCS2 (50 kW),BPCL EV Station,2025-01-18 12:23:00,2025-01-18 12:54:12,0.52,21.8,Kia EV6,Saturday,12,True,12.2,392.18,Daily Commuter
SES000106,STA005,Bengaluru,AC Type 2 (7.4 kW),Zeon Charging,2025-01-20 21:41:00,2025-01-21 00:37:24,2.94,21.68,BYD Atto 3,Monday,21,False,16.8,272.3,Fleet Driver
SES000107,STA011,Bengaluru,AC Type 2 (22 kW),Bolt.Earth,2025-02-05 03:23:00,2025-02-05 04:35:00,1.2,23.34,BYD Atto 3,Wednesday,3,False,6.2,339.13,Weekend User
SES000108,STA018,Delhi,AC Type 2 (22 kW),BPCL EV Station,2025-02-16 07:43:00,2025-02-16 08:53:48,1.18,20.53,Tata Tigor EV,Sunday,7,True,6.1,332.38,Daily Commuter
SES000109,STA047,Hyderabad,AC Type 2 (7.4 kW),ChargeZone,2025-02-05 09:07:00,2025-02-05 11:55:00,2.8,19.8,BYD Atto 3,Wednesday,9,False,7.4,255.82,Daily Commuter
SES000110,STA049,Hyderabad,DC CCS2 (150 kW),Zeon Charging,2025-01-28 18:38:00,2025-01-28 19:06:48,0.48,69.59,Tata Nexon EV,Tuesday,18,False,27.2,1546.29,Fleet Driver
SES000111,STA026,Delhi,AC Type 2 (7.4 kW),Ather Grid,2025-02-01 23:50:00,2025-02-02 00:41:00,0.85,4.76,MG ZS EV,Saturday,23,True,11.9,58.79,Fleet Driver
SES000112,STA039,Pune,DC CHAdeMO (50 kW),Statiq,2025-03-12 09:13:00,2025-03-12 09:57:24,0.74,29.14,Ather 450X,Wednesday,9,False,11.7,542.3,Daily Commuter
SES000113,STA001,Bengaluru,DC CCS2 (50 kW),NTPC Vidyut,2025-01-19 19:38:00,2025-01-19 20:12:48,0.58,24.51,Hyundai Kona Electric,Sunday,19,True,19.4,496.57,Weekend User
SES000114,STA006,Bengaluru,DC CCS2 (150 kW),BPCL EV Station,2025-03-11 10:11:00,2025-03-11 10:30:12,0.32,39.28,Tata Nexon EV,Tuesday,10,False,17.2,952.54,Daily Commuter
SES000115,STA028,Mumbai,AC Type 2 (22 kW),NTPC Vidyut,2025-02-15 19:15:00,2025-02-15 19:48:36,0.56,11.9,Tata Nexon EV,Saturday,19,True,20.0,156.25,Daily Commuter
SES000116,STA025,Delhi,AC Type 2 (22 kW),Ather Grid,2025-01-07 08:26:00,2025-01-07 09:42:12,1.27,27.55,MG ZS EV,Tuesday,8,False,17.2,435.57,Intercity Traveller
SES000117,STA021,Delhi,AC Type 2 (7.4 kW),Statiq,2025-02-16 14:06:00,2025-02-16 16:45:36,2.66,15.98,Ather 450X,Sunday,14,True,5.7,221.48,Weekend User
SES000118,STA042,Pune,AC Type 2 (22 kW),Statiq,2025-01-06 19:58:00,2025-01-06 21:25:00,1.45,28.76,Kia EV6,Monday,19,False,19.3,398.33,Daily Commuter
SES000119,STA050,Hyderabad,DC CCS2 (50 kW),BPCL EV Station,2025-03-24 22:03:00,2025-03-24 22:28:48,0.43,19.74,Mahindra XUV400,Monday,22,False,3.3,346.63,Daily Commuter
SES000120,STA021,Delhi,AC Type 2 (7.4 kW),Statiq,2025-01-14 15:58:00,2025-01-14 16:58:36,1.01,6.86,MG ZS EV,Tuesday,15,False,16.4,95.08,Daily Commuter
SES000121,STA029,Mumbai,AC Type 2 (22 kW),Tata Power EZ Charge,2025-01-19 06:17:00,2025-01-19 07:18:12,1.02,21.16,BMW iX,Sunday,6,True,9.9,305.97,Intercity Traveller
SES000122,STA025,Delhi,AC Type 2 (22 kW),Ather Grid,2025-02-11 12:38:00,2025-02-11 13:41:00,1.05,20.56,BYD Atto 3,Tuesday,12,False,16.3,325.05,Intercity Traveller
SES000123,STA006,Bengaluru,DC CCS2 (150 kW),BPCL EV Station,2025-02-25 07:44:00,2025-02-25 08:11:36,0.46,58.71,Kia EV6,Tuesday,7,False,12.2,1423.72,Fleet Driver
SES000124,STA011,Bengaluru,AC Type 2 (22 kW),Bolt.Earth,2025-01-28 13:56:00,2025-01-28 15:08:00,1.2,21.21,Tata Tigor EV,Tuesday,13,False,19.8,308.18,Fleet Driver
SES000125,STA015,Delhi,DC CCS2 (50 kW),Statiq,2025-02-21 13:06:00,2025-02-21 13:29:24,0.39,14.7,Tata Tigor EV,Friday,13,False,18.3,284.0,Fleet Driver
SES000126,STA046,Hyderabad,AC Type 2 (7.4 kW),ChargeZone,2025-02-17 22:43:00,2025-02-18 00:20:48,1.63,10.37,MG ZS EV,Monday,22,False,2.2,128.69,Daily Commuter
SES000127,STA036,Mumbai,DC CHAdeMO (50 kW),Ather Grid,2025-01-11 07:06:00,2025-01-11 07:48:36,0.71,29.72,Tata Tigor EV,Saturday,7,True,16.5,550.12,Fleet Driver
SES000128,STA026,Delhi,AC Type 2 (7.4 kW),Ather Grid,2025-03-13 06:35:00,2025-03-13 08:13:24,1.64,10.99,MG ZS EV,Thursday,6,False,4.4,135.73,Daily Commuter
SES000129,STA042,Pune,AC Type 2 (22 kW),Statiq,2025-03-27 22:27:00,2025-03-27 23:48:36,1.36,29.54,Tata Nexon EV,Thursday,22,False,2.5,409.13,Weekend User
SES000130,STA027,Mumbai,AC Type 2 (7.4 kW),Bolt.Earth,2025-03-18 11:06:00,2025-03-18 12:52:48,1.78,13.11,Ather 450X,Tuesday,11,False,11.7,166.89,Daily Commuter
SES000131,STA017,Delhi,AC Type 2 (7.4 kW),BPCL EV Station,2025-03-03 09:06:00,2025-03-03 10:57:36,1.86,11.45,Kia EV6,Monday,9,False,7.5,161.9,Daily Commuter
SES000132,STA020,Delhi,AC Type 2 (7.4 kW),BPCL EV Station,2025-02-05 16:51:00,2025-02-05 17:46:12,0.92,5.33,Kia EV6,Wednesday,16,False,14.3,68.49,Weekend User
